 Label, 3 word address
Point A,///dozed.rents.zoom
Point B,///churn.stable.digit
Point C,///poems.grape.stamp
Point D,///valid.jobs.topic
Point E,///ocean.wisely.waddle
Point F,///posts.model.regime
Point G,///cabin.award.nests
Point H,///giant.stiff.lively
Point I,///locals.chins.flag
Point J,///slang.figure.lasts
Point K,///phones.cared.loves
Point L,///shared.daring.sound
Point M,///agenda.issue.looked
Point N,///brings.goals.double
Point O,///stump.squad.bumpy
Point P,///cope.these.secure
Point Q,///fixed.called.vase
Point R,///rash.lower.daring
Point S,///manage.bared.mint
Point T,///reef.corner.claim
Point U,///amber.target.universally
Point V,///double.stack.never
Point W,///zooms.claps.smoke
Point X,///cone.games.funds
Point Y,///flat.mental.plot
Point Z,///spared.class.rating
Point Z1,///levels.dare.sing
Point Z2,///cherry.dwell.wages
